Parent-sibling table: 
INDEX   | INFO                                     | PARENT  | RIGHT SIBLING
0       | programPRIME                             | -1      | -1
1       | begin                                    | 0       | -1
2       | statement_list                           | 0       | 1
3       | end                                      | 0       | 2
4       | declaration_statement                    | 2       | -1
5       | ;                                        | 2       | 4
6       | assignment_statement                     | 2       | 5
7       | ;                                        | 2       | 6
8       | output_statement                         | 2       | 7
9       | ;                                        | 2       | 8
10      | printf                                   | 8       | -1
11      | (                                        | 8       | 10
12      | id                                       | 8       | 11
13      | )                                        | 8       | 12
14      | id                                       | 6       | -1
15      | =                                        | 6       | 14
16      | const                                    | 6       | 15
17      | +                                        | 6       | 16
18      | const                                    | 6       | 17
19      | type                                     | 4       | -1
20      | id                                       | 4       | 19
21      | int                                      | 19      | -1

